occupation,family_history,treatment,days_indoors,growing_stress,mental_health_history,mood_swings,coping_struggles,work_interest,social_weakness,percentage
Housewife,-1,1,1-14 days,1,0,1,-1,-1,-1,0.045967084781412586
Housewife,-1,1,31-60 days,0,0,-1,-1,1,-1,0.045967084781412586
Housewife,-1,1,1-14 days,1,1,-1,1,-1,1,0.045967084781412586
Business,-1,1,31-60 days,-1,0,-1,-1,0,-1,0.045967084781412586
Business,-1,1,Go out Every day,1,1,-1,1,1,-1,0.045967084781412586
Housewife,-1,1,1-14 days,-1,-1,0,-1,0,-1,0.045967084781412586
Housewife,-1,1,Go out Every day,1,-1,-1,1,1,-1,0.045967084781412586
Student,-1,1,31-60 days,1,0,1,-1,-1,0,0.045967084781412586
Others,-1,1,31-60 days,-1,-1,0,1,0,-1,0.045967084781412586
Business,-1,1,1-14 days,1,-1,1,1,0,1,0.045967084781412586
Business,-1,1,Go out Every day,0,-1,0,1,1,1,0.045967084781412586
Business,-1,1,31-60 days,-1,0,1,1,1,-1,0.045967084781412586
Student,-1,1,More than 2 months,1,1,-1,1,0,-1,0.045967084781412586
Student,-1,1,Go out Every day,0,-1,1,1,0,-1,0.045967084781412586
Student,-1,1,More than 2 months,1,0,1,-1,1,1,0.045967084781412586
Student,-1,1,31-60 days,1,1,0,-1,1,-1,0.045967084781412586
Student,-1,1,31-60 days,1,1,-1,-1,0,-1,0.045967084781412586
Business,-1,1,15-30 days,-1,0,0,1,0,1,0.045967084781412586
Student,-1,1,Go out Every day,0,-1,1,-1,-1,-1,0.045967084781412586
Business,-1,1,1-14 days,1,1,0,-1,-1,1,0.045967084781412586
Business,-1,1,More than 2 months,1,0,0,-1,0,0,0.045967084781412586
Student,-1,1,More than 2 months,1,-1,1,1,-1,0,0.045967084781412586
Student,-1,1,31-60 days,1,0,-1,-1,-1,1,0.045967084781412586
Student,-1,1,More than 2 months,1,-1,0,1,0,0,0.045967084781412586
Business,-1,1,Go out Every day,0,1,1,1,0,-1,0.045967084781412586
Business,-1,1,1-14 days,1,-1,0,1,1,1,0.045967084781412586
Student,-1,1,31-60 days,1,-1,1,1,1,0,0.045967084781412586
Housewife,-1,1,Go out Every day,0,1,1,1,0,0,0.045967084781412586
Others,-1,1,More than 2 months,1,1,-1,1,1,-1,0.045967084781412586
Student,-1,1,More than 2 months,1,1,0,1,1,0,0.045967084781412586
Student,-1,1,Go out Every day,-1,1,0,-1,1,0,0.045967084781412586
Student,-1,1,Go out Every day,0,1,1,-1,1,1,0.045967084781412586
Student,-1,1,Go out Every day,0,1,1,-1,0,0,0.045967084781412586
Student,-1,1,Go out Every day,1,-1,0,1,0,1,0.045967084781412586
Business,-1,1,Go out Every day,1,1,1,1,-1,1,0.045967084781412586
Business,-1,1,More than 2 months,-1,-1,1,1,1,1,0.045967084781412586
Student,-1,1,Go out Every day,1,-1,0,-1,0,0,0.045967084781412586
Student,-1,1,Go out Every day,0,1,1,1,-1,0,0.045967084781412586
Business,-1,1,1-14 days,1,1,1,-1,-1,1,0.045967084781412586
Student,-1,1,More than 2 months,-1,-1,-1,1,-1,-1,0.045967084781412586
Student,-1,1,Go out Every day,0,-1,-1,-1,1,1,0.045967084781412586
Student,-1,1,More than 2 months,-1,-1,1,-1,-1,1,0.045967084781412586
Business,-1,1,More than 2 months,0,-1,0,-1,1,-1,0.045967084781412586
Student,-1,1,More than 2 months,0,1,1,1,0,-1,0.045967084781412586
Student,-1,1,More than 2 months,0,0,-1,-1,0,0,0.045967084781412586
Business,-1,1,1-14 days,-1,-1,1,-1,1,0,0.045967084781412586
Business,-1,1,Go out Every day,0,0,1,1,0,0,0.045967084781412586
Student,-1,1,Go out Every day,0,0,1,1,-1,0,0.045967084781412586
Student,-1,1,More than 2 months,1,1,1,1,-1,0,0.045967084781412586
Student,-1,1,Go out Every day,1,0,1,1,0,1,0.045967084781412586
Business,-1,1,Go out Every day,0,1,0,-1,-1,0,0.045967084781412586
Business,-1,1,More than 2 months,1,0,-1,1,0,1,0.045967084781412586
Housewife,-1,1,1-14 days,-1,0,0,1,0,0,0.045967084781412586
Housewife,-1,1,1-14 days,-1,1,0,-1,0,1,0.045967084781412586
Housewife,-1,1,Go out Every day,-1,-1,1,-1,-1,0,0.045967084781412586
Housewife,-1,1,Go out Every day,0,0,-1,1,0,-1,0.045967084781412586
Housewife,-1,1,Go out Every day,0,0,-1,-1,1,1,0.045967084781412586
Housewife,-1,1,Go out Every day,0,-1,1,1,1,0,0.045967084781412586
Housewife,-1,1,Go out Every day,0,-1,-1,-1,-1,0,0.045967084781412586
Housewife,-1,1,Go out Every day,-1,1,1,-1,-1,-1,0.045967084781412586
Housewife,-1,1,Go out Every day,-1,1,0,-1,1,0,0.045967084781412586
Housewife,-1,1,Go out Every day,-1,0,0,1,1,0,0.045967084781412586
Housewife,-1,1,Go out Every day,-1,0,0,-1,0,-1,0.045967084781412586
Business,-1,1,15-30 days,1,1,0,-1,0,1,0.045967084781412586
Student,-1,1,31-60 days,1,-1,1,1,-1,1,0.045967084781412586
Housewife,-1,1,More than 2 months,-1,0,0,-1,-1,-1,0.045967084781412586
Housewife,-1,1,31-60 days,1,1,1,1,0,-1,0.045967084781412586
Housewife,-1,1,31-60 days,1,1,0,-1,-1,0,0.045967084781412586
Housewife,-1,1,Go out Every day,1,1,1,-1,-1,1,0.045967084781412586
Housewife,-1,1,31-60 days,1,1,-1,-1,1,0,0.045967084781412586
Housewife,-1,1,15-30 days,-1,1,1,-1,0,-1,0.045967084781412586
Housewife,-1,1,More than 2 months,-1,0,1,1,1,0,0.045967084781412586
Business,-1,1,More than 2 months,1,1,0,1,1,0,0.045967084781412586
Business,-1,1,15-30 days,1,1,1,1,-1,-1,0.045967084781412586
Housewife,-1,1,Go out Every day,-1,-1,-1,1,1,1,0.045967084781412586
Housewife,-1,1,Go out Every day,-1,-1,0,-1,-1,0,0.045967084781412586
Business,-1,1,15-30 days,1,1,1,-1,1,-1,0.045967084781412586
Housewife,-1,1,Go out Every day,0,0,0,1,1,1,0.045967084781412586
Housewife,-1,1,Go out Every day,0,0,1,1,1,0,0.045967084781412586
Corporate,-1,1,Go out Every day,0,1,-1,-1,0,-1,0.045967084781412586
Others,-1,1,31-60 days,-1,-1,-1,1,0,0,0.045967084781412586
Others,-1,1,31-60 days,0,-1,0,1,0,1,0.045967084781412586
Others,-1,1,15-30 days,1,1,1,1,-1,1,0.045967084781412586
Student,-1,1,1-14 days,0,0,-1,1,1,0,0.045967084781412586
Corporate,-1,1,Go out Every day,0,-1,1,-1,1,0,0.045967084781412586
Corporate,-1,1,Go out Every day,0,-1,1,-1,0,-1,0.045967084781412586
Corporate,-1,1,Go out Every day,0,-1,0,1,-1,-1,0.045967084781412586
Student,-1,1,1-14 days,0,0,0,-1,1,-1,0.045967084781412586
Others,-1,1,15-30 days,1,1,0,-1,-1,-1,0.045967084781412586
Student,-1,1,15-30 days,0,1,0,-1,-1,0,0.045967084781412586
Corporate,-1,1,Go out Every day,0,0,-1,1,0,-1,0.045967084781412586
Student,-1,1,31-60 days,1,-1,-1,1,0,0,0.045967084781412586
Housewife,-1,1,15-30 days,0,0,0,-1,0,1,0.045967084781412586
Others,-1,1,More than 2 months,1,0,-1,1,1,-1,0.045967084781412586
Housewife,-1,1,Go out Every day,1,1,0,-1,-1,1,0.045967084781412586
Housewife,-1,1,Go out Every day,1,1,-1,-1,-1,1,0.045967084781412586
Business,-1,1,15-30 days,0,-1,0,1,0,1,0.045967084781412586
Housewife,-1,1,Go out Every day,0,1,1,-1,1,0,0.045967084781412586
Housewife,-1,1,1-14 days,-1,-1,-1,-1,0,1,0.045967084781412586
Housewife,-1,1,31-60 days,0,-1,1,-1,1,0,0.045967084781412586
Housewife,-1,1,15-30 days,-1,-1,-1,-1,1,-1,0.045967084781412586
Business,-1,1,1-14 days,-1,-1,-1,-1,0,-1,0.045967084781412586
Housewife,-1,1,15-30 days,-1,-1,1,1,-1,-1,0.045967084781412586
Business,-1,1,15-30 days,-1,1,0,-1,0,1,0.045967084781412586
Business,-1,1,1-14 days,-1,-1,-1,1,1,1,0.045967084781412586
Housewife,-1,1,15-30 days,1,1,-1,1,-1,-1,0.045967084781412586
Housewife,-1,1,More than 2 months,1,1,0,1,0,1,0.045967084781412586
Housewife,-1,1,More than 2 months,1,0,-1,1,1,1,0.045967084781412586
Housewife,-1,1,15-30 days,1,-1,0,-1,0,1,0.045967084781412586
Housewife,-1,1,15-30 days,-1,1,-1,-1,1,1,0.045967084781412586
Business,-1,1,15-30 days,1,0,-1,-1,-1,-1,0.045967084781412586
Housewife,-1,1,15-30 days,0,1,0,-1,1,0,0.045967084781412586
Housewife,-1,1,15-30 days,0,1,-1,-1,-1,-1,0.045967084781412586
Housewife,-1,1,15-30 days,0,-1,-1,1,0,1,0.045967084781412586
Housewife,-1,1,15-30 days,0,0,-1,-1,0,0,0.045967084781412586
Housewife,-1,1,15-30 days,0,0,-1,-1,1,0,0.045967084781412586
Housewife,-1,1,15-30 days,0,0,1,-1,1,1,0.045967084781412586
Housewife,-1,1,31-60 days,0,-1,-1,1,-1,1,0.045967084781412586
Housewife,-1,1,1-14 days,1,1,0,-1,0,-1,0.045967084781412586
Others,-1,1,1-14 days,1,0,-1,-1,1,0,0.045967084781412586
Housewife,-1,1,15-30 days,1,1,0,-1,0,-1,0.045967084781412586
Business,-1,1,15-30 days,-1,1,0,1,1,-1,0.045967084781412586
Housewife,-1,1,15-30 days,-1,0,0,1,-1,0,0.045967084781412586
Housewife,-1,1,31-60 days,-1,-1,-1,1,0,0,0.045967084781412586
Housewife,-1,1,More than 2 months,-1,1,-1,1,1,-1,0.045967084781412586
Housewife,-1,1,More than 2 months,1,-1,-1,-1,1,1,0.045967084781412586
Housewife,-1,1,31-60 days,-1,0,-1,1,0,1,0.045967084781412586
Business,-1,1,15-30 days,1,-1,0,-1,1,-1,0.045967084781412586
Housewife,-1,1,More than 2 months,0,-1,0,-1,0,-1,0.045967084781412586
Housewife,-1,1,More than 2 months,0,-1,1,-1,0,0,0.045967084781412586
Housewife,-1,1,More than 2 months,0,-1,0,1,0,-1,0.045967084781412586
Business,-1,1,15-30 days,0,1,0,1,0,0,0.045967084781412586
Housewife,-1,1,More than 2 months,0,1,1,1,1,-1,0.045967084781412586
Housewife,-1,1,More than 2 months,0,-1,-1,1,0,-1,0.045967084781412586
Housewife,-1,1,More than 2 months,0,0,0,-1,1,1,0.045967084781412586
Business,-1,1,15-30 days,0,-1,1,1,1,0,0.045967084781412586
Housewife,-1,1,31-60 days,-1,1,0,1,0,-1,0.045967084781412586
Housewife,-1,1,31-60 days,1,0,0,1,-1,0,0.045967084781412586
Housewife,-1,1,31-60 days,1,0,-1,1,-1,0,0.045967084781412586
Housewife,-1,1,More than 2 months,1,0,1,-1,1,1,0.045967084781412586
Housewife,-1,1,1-14 days,-1,-1,-1,-1,-1,1,0.045967084781412586
Housewife,-1,1,More than 2 months,-1,1,0,-1,0,0,0.045967084781412586
Housewife,-1,1,1-14 days,-1,0,0,1,-1,-1,0.045967084781412586
Housewife,-1,1,More than 2 months,-1,0,1,1,1,-1,0.045967084781412586
Housewife,1,-1,1-14 days,0,0,-1,-1,-1,-1,0.043877671836802926
Others,1,1,31-60 days,1,1,1,1,-1,-1,0.04039531692912015
Housewife,1,1,1-14 days,-1,0,0,-1,1,0,0.04039531692912015
Others,1,1,More than 2 months,1,-1,0,1,0,0,0.04039531692912015
Student,1,1,More than 2 months,1,0,1,-1,0,-1,0.04039531692912015
Housewife,1,1,Go out Every day,1,-1,1,-1,0,0,0.04039531692912015
Others,1,1,15-30 days,0,1,-1,1,1,1,0.04039531692912015
Corporate,1,1,31-60 days,-1,0,1,-1,1,0,0.04039531692912015
Housewife,1,-1,15-30 days,1,-1,-1,-1,-1,1,0.026465897298389066
Corporate,1,-1,More than 2 months,0,0,0,-1,-1,-1,0.026465897298389066
Others,1,-1,31-60 days,-1,0,-1,1,1,1,0.026465897298389066
Student,1,-1,15-30 days,-1,0,-1,-1,0,1,0.026465897298389066
Housewife,1,-1,Go out Every day,-1,-1,1,-1,0,1,0.026465897298389066
Corporate,1,-1,31-60 days,0,-1,0,-1,-1,1,0.026465897298389066
Others,1,-1,31-60 days,0,0,-1,1,-1,-1,0.026465897298389066
Student,1,-1,Go out Every day,1,-1,1,-1,1,-1,0.026465897298389066
Student,1,-1,31-60 days,-1,1,-1,-1,1,0,0.026465897298389066
Others,1,-1,1-14 days,0,1,0,-1,1,0,0.026465897298389066
Others,1,-1,Go out Every day,0,1,1,1,-1,-1,0.026465897298389066
Business,1,-1,Go out Every day,0,1,-1,1,-1,-1,0.026465897298389066
Corporate,1,-1,31-60 days,1,1,-1,-1,-1,1,0.026465897298389066
Corporate,1,-1,31-60 days,1,0,1,-1,-1,0,0.026465897298389066
Student,1,-1,More than 2 months,0,-1,0,1,1,-1,0.026465897298389066
Housewife,1,-1,Go out Every day,-1,-1,-1,1,1,0,0.026465897298389066
Corporate,1,-1,15-30 days,0,0,1,1,0,0,0.021938835918401463
Corporate,1,-1,15-30 days,-1,0,0,-1,0,-1,0.021938835918401463
Business,1,-1,1-14 days,0,1,1,-1,-1,-1,0.021938835918401463
Corporate,1,-1,More than 2 months,-1,1,1,-1,-1,1,0.021938835918401463
Corporate,1,-1,15-30 days,0,-1,0,1,-1,-1,0.021938835918401463
Corporate,1,-1,15-30 days,0,-1,0,-1,1,1,0.021938835918401463
Others,1,-1,More than 2 months,1,1,-1,1,1,-1,0.021938835918401463
Corporate,1,-1,More than 2 months,-1,1,1,1,-1,-1,0.021938835918401463
Corporate,1,-1,More than 2 months,0,-1,-1,-1,-1,0,0.021938835918401463
Housewife,1,-1,1-14 days,1,-1,0,-1,1,1,0.021938835918401463
Housewife,1,-1,Go out Every day,1,1,0,-1,-1,1,0.021938835918401463
Housewife,1,-1,1-14 days,0,0,-1,1,1,1,0.021938835918401463
Corporate,1,-1,31-60 days,0,0,0,-1,1,0,0.021938835918401463
Housewife,1,-1,15-30 days,1,1,-1,1,-1,-1,0.021938835918401463
Housewife,1,-1,1-14 days,0,1,0,1,1,1,0.021938835918401463
Business,1,-1,1-14 days,0,-1,1,-1,1,0,0.021938835918401463
Student,1,-1,15-30 days,1,0,0,1,0,-1,0.021938835918401463
Student,1,-1,15-30 days,1,0,0,-1,-1,0,0.021938835918401463
Housewife,1,-1,1-14 days,0,1,0,-1,0,-1,0.021938835918401463
Student,1,-1,15-30 days,0,1,1,1,1,1,0.021938835918401463
Others,1,-1,More than 2 months,1,0,-1,1,1,-1,0.021938835918401463
Corporate,1,-1,More than 2 months,-1,-1,0,1,1,-1,0.021938835918401463
Business,1,-1,1-14 days,0,-1,0,1,1,-1,0.021938835918401463
Housewife,1,-1,1-14 days,1,-1,-1,-1,0,-1,0.021938835918401463
Business,1,-1,1-14 days,-1,1,-1,-1,1,1,0.021938835918401463
Corporate,1,-1,15-30 days,1,-1,0,-1,0,0,0.021938835918401463
Others,1,-1,More than 2 months,0,-1,0,-1,1,1,0.021938835918401463
Corporate,1,-1,More than 2 months,0,-1,0,-1,1,1,0.021938835918401463
Others,1,-1,More than 2 months,0,-1,-1,-1,0,1,0.021938835918401463
Corporate,1,-1,1-14 days,1,-1,0,-1,1,-1,0.021938835918401463
Corporate,1,-1,1-14 days,1,-1,-1,-1,0,-1,0.021938835918401463
Corporate,1,-1,1-14 days,0,1,1,-1,1,1,0.021938835918401463
Others,1,-1,More than 2 months,-1,-1,1,-1,-1,-1,0.021938835918401463
Corporate,1,-1,More than 2 months,0,0,0,-1,-1,0,0.021938835918401463
Others,1,-1,Go out Every day,1,-1,0,1,1,0,0.021938835918401463
Others,1,-1,Go out Every day,1,-1,0,1,0,0,0.021938835918401463
Corporate,1,-1,15-30 days,-1,-1,0,-1,0,0,0.021938835918401463
Corporate,1,-1,15-30 days,-1,-1,1,-1,-1,-1,0.021938835918401463
Corporate,1,-1,15-30 days,-1,-1,1,-1,0,0,0.021938835918401463
Others,1,-1,More than 2 months,1,0,-1,-1,0,-1,0.021938835918401463
Business,1,-1,1-14 days,0,-1,-1,1,-1,-1,0.021938835918401463
Business,1,-1,1-14 days,0,-1,0,-1,1,1,0.021938835918401463
Corporate,1,-1,15-30 days,1,0,0,1,1,1,0.021938835918401463
Housewife,1,-1,1-14 days,1,-1,-1,-1,0,1,0.021938835918401463
Corporate,1,-1,1-14 days,1,0,-1,1,-1,0,0.021938835918401463
Others,1,-1,More than 2 months,0,-1,1,-1,-1,-1,0.021938835918401463
Housewife,1,-1,Go out Every day,1,1,1,-1,-1,1,0.021938835918401463
Housewife,1,-1,More than 2 months,0,-1,0,-1,0,-1,0.021938835918401463
Housewife,1,-1,1-14 days,0,-1,-1,-1,0,-1,0.021938835918401463
Housewife,1,-1,More than 2 months,-1,1,-1,1,1,-1,0.021938835918401463
Student,1,-1,31-60 days,-1,1,1,1,0,-1,0.021938835918401463
Housewife,1,-1,More than 2 months,-1,1,0,-1,0,0,0.021938835918401463
Housewife,1,-1,More than 2 months,0,-1,-1,1,0,-1,0.021938835918401463
Business,1,-1,1-14 days,1,-1,-1,-1,0,1,0.021938835918401463
Student,1,-1,31-60 days,0,-1,0,1,-1,0,0.021938835918401463
Student,1,-1,31-60 days,-1,0,1,-1,1,0,0.021938835918401463
Housewife,1,-1,1-14 days,1,0,-1,-1,1,-1,0.021938835918401463
Student,1,-1,15-30 days,0,1,0,1,1,1,0.021938835918401463
Housewife,1,-1,1-14 days,1,1,-1,1,-1,1,0.021938835918401463
Housewife,1,-1,More than 2 months,0,-1,1,-1,0,0,0.021938835918401463
Student,1,-1,31-60 days,0,0,1,1,-1,0,0.021938835918401463
Student,1,-1,31-60 days,0,1,-1,1,0,1,0.021938835918401463
Student,1,-1,31-60 days,1,-1,-1,-1,-1,-1,0.021938835918401463
Student,1,-1,31-60 days,0,-1,0,1,1,1,0.021938835918401463
Student,1,-1,1-14 days,0,1,0,-1,-1,0,0.021938835918401463
Housewife,1,-1,More than 2 months,-1,0,1,1,1,0,0.021938835918401463
Student,1,-1,31-60 days,-1,0,-1,1,0,0,0.021938835918401463
Student,1,-1,31-60 days,0,-1,1,1,0,0,0.021938835918401463
Housewife,1,-1,More than 2 months,0,-1,0,1,0,-1,0.021938835918401463
Housewife,1,-1,1-14 days,-1,1,0,-1,0,1,0.021938835918401463
Student,1,-1,15-30 days,1,0,1,-1,0,0,0.021938835918401463
Business,1,-1,1-14 days,1,1,1,-1,-1,1,0.021938835918401463
Student,1,-1,15-30 days,0,-1,-1,-1,1,1,0.021938835918401463
Student,1,-1,15-30 days,0,1,0,-1,-1,0,0.021938835918401463
Housewife,1,-1,1-14 days,1,0,1,-1,-1,-1,0.021938835918401463
Student,1,-1,15-30 days,0,1,-1,-1,1,1,0.021938835918401463
Housewife,1,-1,Go out Every day,1,1,-1,-1,-1,1,0.021938835918401463
Student,1,-1,15-30 days,0,0,-1,1,-1,0,0.021938835918401463
Student,1,-1,1-14 days,1,-1,0,-1,0,1,0.021938835918401463
Housewife,1,-1,15-30 days,-1,-1,-1,-1,1,-1,0.021938835918401463
Student,1,-1,1-14 days,1,-1,1,1,0,-1,0.021938835918401463
Business,1,-1,15-30 days,0,1,0,1,0,0,0.021938835918401463
Student,1,-1,1-14 days,1,0,1,1,0,1,0.021938835918401463
Student,1,-1,1-14 days,1,1,0,1,0,-1,0.021938835918401463
Student,1,-1,15-30 days,1,0,1,-1,0,-1,0.021938835918401463
Business,1,-1,1-14 days,1,-1,0,-1,0,0,0.021938835918401463
Student,1,-1,15-30 days,-1,0,-1,1,-1,1,0.021938835918401463
Housewife,1,-1,1-14 days,1,1,0,-1,0,-1,0.021938835918401463
Student,1,-1,15-30 days,-1,0,1,-1,1,-1,0.021938835918401463
Student,1,-1,15-30 days,-1,0,1,1,1,-1,0.021938835918401463
Student,1,-1,15-30 days,-1,-1,1,-1,-1,-1,0.021938835918401463
Corporate,1,-1,15-30 days,1,-1,-1,1,1,0,0.021938835918401463
Corporate,1,-1,Go out Every day,1,0,0,-1,-1,1,0.021938835918401463
Corporate,1,-1,15-30 days,1,-1,1,1,0,-1,0.021938835918401463
Corporate,1,-1,1-14 days,0,-1,1,-1,1,-1,0.021938835918401463
Corporate,1,-1,1-14 days,0,0,-1,-1,-1,0,0.021938835918401463
Others,1,-1,31-60 days,0,0,1,-1,1,0,0.021938835918401463
Others,1,-1,31-60 days,-1,1,-1,1,0,-1,0.021938835918401463
Others,1,-1,31-60 days,-1,1,0,-1,1,-1,0.021938835918401463
Others,1,-1,31-60 days,-1,1,1,-1,1,-1,0.021938835918401463
Others,1,-1,31-60 days,0,-1,-1,-1,0,0,0.021938835918401463
Others,1,-1,31-60 days,0,-1,-1,1,-1,1,0.021938835918401463
Corporate,1,-1,1-14 days,-1,-1,-1,1,1,1,0.021938835918401463
Others,1,-1,31-60 days,0,-1,0,1,0,0,0.021938835918401463
Others,1,-1,31-60 days,0,0,0,-1,1,-1,0.021938835918401463
Others,1,-1,31-60 days,-1,-1,0,1,0,-1,0.021938835918401463
Corporate,1,-1,More than 2 months,1,1,0,1,-1,0,0.021938835918401463
Corporate,1,-1,More than 2 months,1,1,0,-1,1,0,0.021938835918401463
Corporate,1,-1,More than 2 months,1,0,0,1,0,1,0.021938835918401463
Corporate,1,-1,More than 2 months,1,0,0,-1,1,-1,0.021938835918401463
Others,1,-1,31-60 days,1,-1,1,-1,-1,0,0.021938835918401463
Corporate,1,-1,More than 2 months,1,0,-1,-1,1,0,0.021938835918401463
Corporate,1,-1,More than 2 months,1,0,-1,-1,0,-1,0.021938835918401463
Corporate,1,-1,More than 2 months,1,-1,1,-1,0,0,0.021938835918401463
Others,1,-1,31-60 days,0,-1,0,1,0,1,0.021938835918401463
Corporate,1,-1,1-14 days,0,0,-1,-1,1,1,0.021938835918401463
Corporate,1,-1,1-14 days,-1,1,0,-1,-1,0,0.021938835918401463
Others,1,-1,Go out Every day,-1,-1,1,-1,0,0,0.021938835918401463
Others,1,-1,31-60 days,-1,0,-1,-1,0,1,0.021938835918401463
Corporate,1,-1,31-60 days,1,0,0,-1,-1,-1,0.021938835918401463
Others,1,-1,31-60 days,1,-1,1,-1,1,1,0.021938835918401463
Others,1,-1,31-60 days,-1,0,-1,-1,0,0,0.021938835918401463
Others,1,-1,31-60 days,-1,-1,0,1,1,1,0.021938835918401463
Others,1,-1,1-14 days,1,1,-1,-1,0,0,0.021938835918401463
Others,1,-1,Go out Every day,-1,-1,0,-1,1,1,0.021938835918401463
Others,1,-1,Go out Every day,0,0,1,-1,0,0,0.021938835918401463
Others,1,-1,Go out Every day,-1,1,1,-1,0,0,0.021938835918401463
Corporate,1,-1,1-14 days,0,-1,-1,1,0,1,0.021938835918401463
Others,1,-1,Go out Every day,-1,0,0,-1,0,0,0.021938835918401463
Corporate,1,-1,1-14 days,-1,0,-1,-1,-1,0,0.021938835918401463
Others,1,-1,Go out Every day,-1,1,-1,1,0,0,0.021938835918401463
Others,1,-1,31-60 days,1,1,1,1,0,1,0.021938835918401463
Corporate,1,-1,More than 2 months,0,1,-1,-1,0,1,0.021938835918401463
Others,1,-1,Go out Every day,-1,-1,-1,-1,-1,1,0.021938835918401463
Corporate,1,-1,1-14 days,-1,1,0,1,1,1,0.021938835918401463
Corporate,1,-1,1-14 days,-1,-1,0,1,1,0,0.021938835918401463
Corporate,1,-1,Go out Every day,0,0,-1,1,0,-1,0.021938835918401463
Others,1,-1,31-60 days,-1,-1,-1,1,0,0,0.021938835918401463
Others,1,-1,31-60 days,-1,0,1,1,1,0,0.021938835918401463
Corporate,1,-1,1-14 days,1,1,-1,-1,1,1,0.021938835918401463
Others,1,-1,More than 2 months,0,1,1,1,-1,-1,0.021938835918401463
Others,1,-1,More than 2 months,0,1,-1,-1,1,-1,0.021938835918401463
Corporate,1,-1,1-14 days,1,0,1,1,-1,0,0.021938835918401463
Corporate,1,-1,Go out Every day,-1,-1,-1,1,0,0,0.021938835918401463
Corporate,1,-1,Go out Every day,-1,1,0,-1,-1,0,0.021938835918401463
Corporate,1,-1,Go out Every day,-1,1,-1,1,1,0,0.021938835918401463
Corporate,1,-1,Go out Every day,-1,0,-1,1,-1,0,0.021938835918401463
Corporate,1,-1,Go out Every day,-1,0,-1,-1,1,-1,0.021938835918401463
Corporate,1,-1,15-30 days,1,1,0,1,0,0,0.021938835918401463
Corporate,1,-1,Go out Every day,0,1,1,-1,0,1,0.021938835918401463
Corporate,1,-1,Go out Every day,1,0,-1,-1,-1,0,0.021938835918401463
Corporate,1,-1,Go out Every day,-1,-1,0,1,-1,1,0.021938835918401463
Corporate,1,-1,More than 2 months,-1,0,0,-1,0,0,0.021938835918401463
Corporate,1,-1,Go out Every day,1,0,1,1,-1,0,0.021938835918401463
Corporate,1,-1,31-60 days,1,-1,1,-1,1,0,0.021938835918401463
Corporate,1,-1,Go out Every day,1,1,0,-1,1,0,0.021938835918401463
Corporate,1,-1,31-60 days,1,1,0,1,0,-1,0.021938835918401463
Corporate,1,-1,Go out Every day,1,1,0,1,1,-1,0.021938835918401463
Corporate,1,-1,Go out Every day,-1,0,-1,-1,0,1,0.021938835918401463
Others,1,-1,Go out Every day,1,-1,-1,1,1,-1,0.021938835918401463
Corporate,1,-1,15-30 days,1,1,0,-1,0,0,0.021938835918401463
Corporate,1,-1,15-30 days,1,1,-1,1,-1,-1,0.021938835918401463
Corporate,1,-1,1-14 days,1,1,0,1,0,0,0.021938835918401463
Corporate,1,-1,Go out Every day,0,-1,0,1,-1,-1,0.021938835918401463
Corporate,1,-1,Go out Every day,0,-1,1,-1,0,-1,0.021938835918401463
Corporate,1,-1,Go out Every day,0,1,-1,-1,0,-1,0.021938835918401463
Corporate,1,-1,Go out Every day,0,-1,1,-1,1,0,0.021938835918401463
Corporate,1,-1,More than 2 months,-1,0,1,1,-1,-1,0.021938835918401463
Corporate,1,-1,31-60 days,0,1,0,-1,-1,-1,0.021938835918401463
Corporate,1,-1,31-60 days,0,0,1,-1,1,1,0.021938835918401463
Corporate,1,-1,More than 2 months,-1,0,1,1,0,1,0.021938835918401463
Corporate,1,-1,More than 2 months,-1,1,0,-1,1,0,0.021938835918401463
Corporate,1,-1,31-60 days,-1,1,1,1,1,-1,0.021938835918401463
Corporate,1,-1,31-60 days,-1,1,0,1,1,1,0.021938835918401463
Corporate,1,-1,31-60 days,-1,0,0,1,-1,1,0.021938835918401463
Corporate,1,-1,31-60 days,-1,0,0,-1,1,1,0.021938835918401463
Corporate,1,-1,31-60 days,-1,-1,0,1,0,1,0.021938835918401463
Corporate,1,-1,31-60 days,-1,-1,-1,1,1,0,0.021938835918401463
Business,1,-1,1-14 days,-1,-1,-1,-1,0,-1,0.021938835918401463
Corporate,1,-1,15-30 days,1,1,1,1,0,0,0.021938835918401463
Business,1,-1,1-14 days,-1,-1,-1,1,1,1,0.021938835918401463
Business,1,-1,1-14 days,-1,-1,1,-1,1,0,0.021938835918401463
Corporate,1,-1,31-60 days,1,0,-1,-1,1,1,0.021938835918401463
Others,1,-1,More than 2 months,0,0,1,1,1,0,0.021938835918401463
Corporate,1,-1,31-60 days,1,0,0,-1,0,0,0.021938835918401463
Student,1,-1,31-60 days,-1,-1,0,1,0,1,0.021938835918401463
Housewife,1,-1,1-14 days,-1,0,0,-1,-1,-1,0.021938835918401463
Housewife,1,-1,1-14 days,-1,0,0,1,0,0,0.021938835918401463
Student,1,-1,More than 2 months,0,1,-1,-1,1,1,0.021938835918401463
Business,1,-1,Go out Every day,1,-1,1,1,1,-1,0.021938835918401463
Others,1,-1,1-14 days,0,0,-1,-1,1,0,0.021938835918401463
Business,1,-1,Go out Every day,1,0,-1,1,-1,0,0.021938835918401463
